nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
Teatro Heredia;10.427365510389881, -75.55132943822083;C017, T102;Transcaribe;Trocales, Complementarias;csv_2025;bus_stop;platform;Teatro Heredia
Boquete Paz Concordia San Diego;10.42774195310738, -75.54495003413196;C017, T102;Transcaribe;Trocales, Complementarias;csv_2026;bus_stop;platform;Boquete Paz Concordia San Diego
Parque De La Marina;10.420540194362168, -75.55092049322448;C001, C017, C018. T102;Transcaribe;Trocales, Complementarias;csv_2027;bus_stop;platform;Parque De La Marina
Cancha Bambino;10.422032452232136, -75.55355298538244;C017, T102;Transcaribe;Trocales, Complementarias;csv_2028;bus_stop;platform;Cancha Bambino
El Boquetillo;10.428948974223543, -75.54897836644501;C017, T102;Transcaribe;Trocales, Complementarias;csv_2029;bus_stop;platform;El Boquetillo
Frente Parque Apolo;10.430146293308239, -75.54456005207349;C017, T102;Transcaribe;Trocales, Complementarias;csv_2030;bus_stop;platform;Frente Parque Apolo
Colegio Modelo De La Costa;10.432221892382454, -75.54401865065861;C017, T102;Transcaribe;Trocales, Complementarias;csv_2031;bus_stop;platform;Colegio Modelo De La Costa
Costa Azul;10.432938575942808, -75.54299131035806;C017, T102;Transcaribe;Trocales, Complementarias;csv_2032;bus_stop;platform;Costa Azul
Droqueria Inglesa;10.433392288465003, -75.54190769791603;C017, T102;Transcaribe;Trocales, Complementarias;csv_2033;bus_stop;platform;Droqueria Inglesa
Entrada El cabrero;10.434373571424626, -75.5400408804417;C017, T102;Transcaribe;Trocales, Complementarias;csv_2034;bus_stop;platform;Entrada El cabrero
El Cabrero;10.433941386851767, -75.54074322209505;C017, T102;Transcaribe;Trocales, Complementarias;csv_2035;bus_stop;platform;El Cabrero
Bellavista Hotel;10.435561566263834, -75.53818987532055;C017, T102;Transcaribe;Trocales, Complementarias;csv_2036;bus_stop;platform;Bellavista Hotel
Kr 1 entre Cl 47 y 46;10.436458730376039, -75.5366524389351;C017, T102;Transcaribe;Trocales, Complementarias;csv_2037;bus_stop;platform;Kr 1 entre Cl 47 y 46
Datt;10.435857829565661, -75.53746061009701;C017, T102;Transcaribe;Trocales, Complementarias;csv_2038;bus_stop;platform;Datt
Edificio Altamar;10.437120106585615, -75.53365136157727;C017, T102;Transcaribe;Trocales, Complementarias;csv_2039;bus_stop;platform;Edificio Altamar
Terrazas De San Sebastian;10.438455470675908, -75.53169768032562;C017, T102;Transcaribe;Trocales, Complementarias;csv_2040;bus_stop;platform;Terrazas De San Sebastian
Global Center;10.43924156307048, -75.53048868237637;C017, T102;Transcaribe;Trocales, Complementarias;csv_2041;bus_stop;platform;Global Center
Bomba Terpel;10.441424841186162, -75.52727346271556;C017;Transcaribe;Trocales, Complementarias;csv_2042;bus_stop;platform;Bomba Terpel
Parque De Las Americas;10.442603303117663, -75.52341655142352;C017;Transcaribe;Complementarias;csv_2043;bus_stop;platform;Parque De Las Americas
Calle 67;10.442877632483617, -75.52027300245801;C017;Transcaribe;Complementarias;csv_2044;bus_stop;platform;Calle 67
Puente Crespito;10.44295676590741, -75.5187548721556;C017;Transcaribe;Complementarias;csv_2045;bus_stop;platform;Puente Crespito
Vivero Rincon Del Mar;10.443083379343614, -75.51845982916394;T102;Transcaribe;Trocales ;csv_2046;bus_stop;platform;Vivero Rincon Del Mar
Gimnasio-Estetica-Peluqueria;10.442972592589761, -75.52079335100689;T102;Transcaribe;Trocales ;csv_2047;bus_stop;platform;Gimnasio-Estetica-Peluqueria
Calle 64;10.442983143709508, -75.52303567774335;T102;Transcaribe;Trocales ;csv_2048;bus_stop;platform;Calle 64
Corales de India;10.442882908044453, -75.52509024984874;T102;Transcaribe;Trocales ;csv_2049;bus_stop;platform;Corales de India
Carrera 2;10.44380085453212, -75.51784292109045;T102;Transcaribe;Trocales ;csv_2050;bus_stop;platform;Carrera 2
Iglesia Cristo Rey;10.444666042968876, -75.51773026831182;C017;Transcaribe;Complementarias;csv_2051;bus_stop;platform;Iglesia Cristo Rey
Carrera 4;10.445805555810162, -75.51762297995121;T102;Transcaribe;Trocales ;csv_2052;bus_stop;platform;Carrera 4
Carrera 6;10.44708222724562, -75.51749959833654;C017;Transcaribe;Complementarias;csv_2053;bus_stop;platform;Carrera 6
Esquina Carrera 6;10.447651979739526, -75.51743522532018;T102;Transcaribe;Trocales ;csv_2054;bus_stop;platform;Esquina Carrera 6
Ferreteria Crespo 70;10.4486332177237, -75.51732257254153;C017;Transcaribe;Complementarias;csv_2055;bus_stop;platform;Ferreteria Crespo 70
Tienda Glorimar;10.449134386452492, -75.51723137743502;T102;Transcaribe;Trocales ;csv_2056;bus_stop;platform;Tienda Glorimar
Kr 9 - Beach Club;10.450264622924216, -75.51583030861694;T102;Transcaribe;Trocales ;csv_2057;bus_stop;platform;Kr 9 - Beach Club
Playa Azul;10.457681172294885, -75.50892256177079;C017;Transcaribe;Complementarias;csv_2058;bus_stop;platform;Playa Azul
