nombre_paradero;coordenadas;rutas;network;tipos_ruta;fuente;highway;public_transport;name
13 de Junio Tv69A No 64B-14;10.402871063797221, -75.48472031951292;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;13 de Junio Tv69A No 64B-14
Alto Bosque Tv 51;10.393073582545725, -75.51681496349893;X102;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Alto Bosque Tv 51
Amberes;10.40701816043422, -75.51278259673308;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Amberes
Amberes;10.40737166376835, -75.51345314820107;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Amberes
Ara Buenos Aires;10.393300472494731, -75.52059687441859;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Ara Buenos Aires
Arepizza;10.38268181275773, -75.47326650143042;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Arepizza
Arroz Chino las 3 JJJ;10.365423004536929, -75.47993592438414;A103;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Arroz Chino las 3 JJJ
Auto Coreano;10.390929050533613, -75.48884554153013;A107, A108, A111, X102;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Auto Coreano
Bajo San Isidro;10.387283342948306, -75.51154844501676;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Bajo San Isidro
Balcones De Cerezos;10.39675404360676, -75.4777553235592;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Balcones De Cerezos
Barberia Plus;10.387767130647457, -75.49204744448544;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Barberia Plus
Bellavista Mz I Lt 5;10.37285507082128, -75.50414722429066;A108;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Bellavista Mz I Lt 5
Biblioteca Distrital;10.389103399765197, -75.48122809325096;A104, A105;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Biblioteca Distrital
Bodega Copetran;10.389541678052595, -75.52079133685992;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Bodega Copetran
Bosque No 45-57;10.398830094761694, -75.52028037485083;X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Bosque No 45-57
Brasas De Cartagena;10.38151046474236, -75.47974683336464;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Brasas De Cartagena
Calamares Mz E Lt 10;10.391847485927633, -75.498772412025;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Calamares Mz E Lt 10
Calle 14 65-34;10.379110591270177, -75.48973538056494;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Calle 14 65-34
Calle 14 65-34;10.379107291399665, -75.4897464426424;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras;csv_2025;bus_stop;platform;Calle 14 65-34
Calle 14 65-34;10.379093762437329, -75.48975683309102;A107, C001, X105;Transcaribe;Pretroncales, Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Calle 14 65-34
Calle del Mamon;10.399589448899487, -75.52076540357217;C001, X102;Transcaribe;Pretroncales, Complementarias;csv_2025;bus_stop;platform;Calle del Mamon
Camagüey Sector La Gloria;10.39599769693318, -75.49398064721959;X103;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Camagüey Sector La Gloria
Cancha 2;10.382287772392937, -75.49581662021555;A108, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Cancha 2
Cancha Microfutbol El campestre;10.384152709083036, -75.49446679520808;A108, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Cancha Microfutbol El campestre
Cancha Microfutbol Martinez Martelo;10.40759612817218, -75.52240691386767;X102, X105;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Cancha Microfutbol Martinez Martelo
Caracoles Mz 1 Lt 11;10.38988299861536, -75.49167729783228;A108, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Caracoles Mz 1 Lt 11
Casa 26 D 42 Junín 2;10.403145427553405, -75.51155414460926;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Casa 26 D 42 Junín 2
Celumax;10.37543879645228, -75.48638594098705;A107, C001;Transcaribe;Alimentadoras, Complementarias;csv_2025;bus_stop;platform;Celumax
Centro Crisitana Nueva Vida;10.383737193941226, -75.48045493924015;A104;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Centro Crisitana Nueva Vida
Chapacua;10.399510740242043, -75.48037111792618;X101;Transcaribe;Pretroncales;csv_2025;bus_stop;platform;Chapacua
Cl 27A Bis entre Kr 65 y 65A;10.389958515876176, -75.48762448003507;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 27A Bis entre Kr 65 y 65A
Cl 27A Bis entre Kr 68 y Tv 54A;10.38982132641805, -75.48732407220731;A107;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 27A Bis entre Kr 68 y Tv 54A
Cl 28 entre Kr 54 y 53;10.398566938758684, -75.49995861810672;C001;Transcaribe;Complementarias;csv_2025;bus_stop;platform;Cl 28 entre Kr 54 y 53
Cl 30 entre Kr 68B y 68D;10.390538599821872, -75.48353478356768;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 30 entre Kr 68B y 68D
Cl 30 entre Kr 69 y 70;10.38979988979557, -75.4820434774704;A111;Transcaribe;Alimentadoras;csv_2025;bus_stop;platform;Cl 30 entre Kr 69 y 70
